Eastern Illinois, -7.8
North Dakota, -7.8
Cal Poly, -7.8
Pepperdine, -7.9
Portland, -7.9
Binghamton, -8.0
Southeast Missouri St., -8.0
Charlotte, -8.1
Santa Clara, -8.1
Siena, -8.1
Little Rock, -8.1
Campbell, -8.2
Abilene Christian, -8.3
Hampton, -8.5
Southern Utah, -8.6
Denver, -8.7
Nebraska Omaha, -9.0
North Carolina Central, -9.0
Tennessee Martin, -9.1
IUPUI, -9.1
Prairie View A&M, -9.1
St. Francis NY, -9.1
Cal St. Bakersfield, -9.2
Rice, -9.3
South Florida, -9.3
Louisiana Monroe, -9.4
Lafayette, -9.4
Quinnipiac, -9.4
LIU Brooklyn, -9.5
Southeastern Louisiana, -9.6
Gardner Webb, -9.8
Cornell, -9.8
North Carolina A&T, -9.9
Arkansas St., -10.0
Stetson, -10.1
UMKC, -10.1
UNC Wilmington, -10.1
Central Connecticut, -10.3
East Carolina, -10.3
Detroit, -10.3
Mount St. Mary's, -10.4
Dartmouth, -10.5
North Florida, -10.5
Green Bay, -10.5
San Jose St., -10.7
Samford, -10.8
Fairleigh Dickinson, -10.9
Eastern Kentucky, -11.0
Loyola MD, -11.1
Holy Cross, -11.2
Marist, -11.2
Cleveland St., -11.3
Charleston Southern, -11.4
Sacred Heart, -11.6
Chattanooga, -11.7
Western Carolina, -11.7
UMass Lowell, -12.2
Morehead St., -12.2
Houston Baptist, -12.3
Kennesaw St., -12.5
SIU Edwardsville, -12.5
Western Illinois, -12.8
Texas A&M Corpus Chris, -12.9
Presbyterian, -13.0
Southern, -13.0
McNeese St., -13.4
Youngstown St, -13.6
Maine, -13.7
Bethune Cookman, -13.7
Norfolk St., -14.0
Incarnate Word, -14.3
Jackson St., -14.3
Jacksonville, -14.6
VMI, -14.7
Grambling St., -14.7
Morgan St., -14.8
American, -15.0
Arkansas Pine Bluff, -15.0
Savannah St., -15.4
Cal St. Northridge, -15.7
Northern Arizona, -15.8
Howard, -16.2
Bryant, -17.3
USC Upstate, -17.5
The Citadel, -18.1
Longwood, -19.0
Florida A&M, -19.3
Alcorn St., -19.6
South Carolina St., -20.0
Alabama St., -20.3
Northwestern St., -20.5
Coppin St., -21.1
Alabama A&M, -21.5
Chicago St., -22.8
Mississippi Valley St., -23.2
Delaware St., -23.9
Maryland Eastern Shore, -24.4
