UMKC, -6.7
Sam Houston St., -6.8
St. Francis PA, -7.3
Richmond, -7.3
Central Connecticut, -7.5
New Hampshire, -7.5
Miami OH, -7.6
Delaware, -7.9
North Florida, -7.9
Chattanooga, -7.9
Houston Baptist, -8.1
South Florida, -8.1
East Carolina, -8.2
Hampton, -8.5
Cal Poly, -8.5
Denver, -8.6
UMass Lowell, -8.6
Boston University, -8.7
Kennesaw St., -8.7
Illinois Chicago, -8.8
Nebraska Omaha, -8.9
UC Riverside, -8.9
Tennessee Martin, -9.1
IUPUI, -9.1
North Carolina A&T, -9.2
Siena, -9.3
Idaho St., -9.4
Charlotte, -9.4
Holy Cross, -9.5
North Carolina Central, -9.5
Rice, -9.6
Quinnipiac, -9.6
Texas A&M Corpus Chris, -9.6
North Dakota, -9.6
UNC Wilmington, -9.7
LIU Brooklyn, -9.9
Air Force, -10.0
Marist, -10.0
Lafayette, -10.1
Cornell, -10.1
Cleveland St., -10.1
Abilene Christian, -10.2
San Jose St., -10.7
Stetson, -10.9
Green Bay, -11.1
Bethune Cookman, -11.2
Fairleigh Dickinson, -11.2
Arkansas St., -11.2
Grambling St., -11.3
Gardner Webb, -11.3
Incarnate Word, -11.4
Loyola MD, -11.4
St. Francis NY, -11.5
Hartford, -11.6
Sacramento St., -11.8
Southeastern Louisiana, -11.8
Sacred Heart, -12.0
Western Carolina, -12.3
Samford, -12.4
Morgan St., -13.0
Detroit, -13.0
SIU Edwardsville, -13.1
VMI, -13.4
Mount St. Mary's, -13.4
Northern Arizona, -13.5
Eastern Kentucky, -13.6
Presbyterian, -13.6
Little Rock, -13.6
Southern, -13.9
American, -14.2
Maine, -14.3
Morehead St., -14.4
Howard, -15.0
Dartmouth, -15.6
Jacksonville, -15.9
Cal St. Northridge, -16.2
USC Upstate, -16.3
Alcorn St., -16.6
Charleston Southern, -16.6
Savannah St., -16.7
Jackson St., -16.8
Norfolk St., -17.4
McNeese St., -17.6
Florida A&M, -17.6
Youngstown St, -17.8
The Citadel, -18.3
Coppin St., -18.7
Bryant, -18.9
Arkansas Pine Bluff, -20.2
Northwestern St., -21.3
Mississippi Valley St., -21.6
Alabama A&M, -21.7
Alabama St., -22.3
Longwood, -22.4
South Carolina St., -23.0
Chicago St., -27.2
Delaware St., -27.6
Maryland Eastern Shore, -28.1
